Connect Wallet,Connect Wallet
Pay by MOS,Pay by MOS
Chain is wrong. Please change chain in metamask to MOS chain.,Chain is wrong. Please change chain in metamask to MOS chain.
Metamask is not authorized or not installed.,Metamask is not authorized or not installed.
Contract is loaded,Contract is loaded
Transaction is declined by client.%1,Transaction is declined by client.%1
Transaction allowance failed by client.,Transaction allowance failed by client.
Transaction approve failed by client.,Transaction approve failed by client.
"Sorry, there was a problem saving the settings.","Sorry, there was a problem saving the settings."
