"Model Button Color","Model Button Color"
"Model Header Background Color","Model Header Background Color"
"Model Background Color","Model Background Color"
"Model Animation Type","Model Animation Type"
"Show Content as","Show Content as"
"Terms & Conditions","Terms & Conditions"
"Privacy & Cookie Policy","Privacy & Cookie Policy"
"Enable/Disable Address Information","Enable/Disable Address Information"
"Enable Address Fields","Enable Address Fields"
"Custom Registration Field Product Information","Custom Registration Field Product Information"
"Add New Field","Add New Field"
Confirm,Confirm
"Are you sure you wan't to disable?","Are you sure you wan't to disable?"
"Are you sure you wan't to enable?","Are you sure you wan't to enable?"
"Are you sure you wan't to delete?","Are you sure you wan't to delete?"
"Manage Display Fields","Manage Display Fields"
"Display In Order","Display In Order"
"Hide From Order","Hide From Order"
"Display In Email","Display In Email"
"Hide From Email","Hide From Email"
20,20
30,30
50,50
100,100
200,200
ID,ID
"Attribute Id","Attribute Id"
"Attribute Label","Attribute Label"
"Show in Order","Show in Order"
"Show in Transactional Email","Show in Transactional Email"
"Text Field","Text Field"
"Yes/No","Yes/No"
None,None
"Decimal Number","Decimal Number"
"Integer Number","Integer Number"
URL,URL
Letters,Letters
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) or Numbers (0-9)"
